timestamp,distance [mm],confidence [%]
2022-02-06 19:50:19.417000,37975,0
2022-02-06 19:50:20.532000,34097,0
2022-02-06 19:50:20.603000,33321,0
2022-02-06 19:50:20.697000,33175,0
2022-02-06 19:50:20.792000,32482,0
2022-02-06 19:50:20.932000,22412,0
2022-02-06 19:50:20.990000,24395,0
2022-02-06 19:50:21.072000,21743,0
2022-02-06 19:50:21.154000,23595,0
2022-02-06 19:50:21.252000,30265,0
2022-02-06 19:50:21.369000,30093,0
2022-02-06 19:50:21.451000,34791,0
2022-02-06 19:50:21.535000,35739,0
2022-02-06 19:50:21.633000,30092,0
2022-02-06 19:50:21.728000,29925,0
2022-02-06 19:50:21.869000,33947,0
2022-02-06 19:50:21.946000,29707,0
2022-02-06 19:50:22.038000,33251,0
2022-02-06 19:50:22.131000,31899,0
2022-02-06 19:50:22.231000,29399,0
2022-02-06 19:50:22.365000,29780,0
2022-02-06 19:50:22.448000,31409,0
2022-02-06 19:50:22.533000,30150,0
2022-02-06 19:50:22.622000,32363,0
2022-02-06 19:50:22.732000,32913,0
2022-02-06 19:50:22.860000,33548,0
2022-02-06 19:50:22.948000,33943,0
2022-02-06 19:50:23.033000,34951,12
2022-02-06 19:50:23.114000,34244,12
2022-02-06 19:50:23.221000,35052,12
2022-02-06 19:50:23.360000,35806,25
2022-02-06 19:50:23.444000,36594,25
2022-02-06 19:50:23.534000,37399,24
2022-02-06 19:50:23.618000,36947,22
2022-02-06 19:50:23.717000,37743,33
2022-02-06 19:50:23.863000,39200,46
2022-02-06 19:50:23.934000,39654,36
2022-02-06 19:50:24.117000,39628,20
2022-02-06 19:50:24.217000,39255,20
2022-02-06 19:50:24.355000,39159,28
2022-02-06 19:50:24.439000,38609,29
2022-02-06 19:50:24.520000,38364,40
2022-02-06 19:50:24.615000,38295,29
2022-02-06 19:50:24.719000,38538,29
2022-02-06 19:50:24.861000,38836,20
2022-02-06 19:50:24.949000,38259,29
2022-02-06 19:50:25.035000,37555,9
2022-02-06 19:50:25.117000,37541,19
2022-02-06 19:50:25.216000,37157,19
2022-02-06 19:50:25.359000,36636,19
2022-02-06 19:50:25.442000,36465,29
2022-02-06 19:50:25.521000,35109,30
2022-02-06 19:50:25.620000,35812,39
2022-02-06 19:50:25.717000,35841,30
2022-02-06 19:50:25.850000,24688,0
2022-02-06 19:50:25.918000,23464,0
2022-02-06 19:50:25.995000,22359,0
2022-02-06 19:50:26.071000,20821,0
2022-02-06 19:50:26.162000,22619,0
2022-02-06 19:50:26.285000,31455,0
2022-02-06 19:50:26.367000,30700,0
2022-02-06 19:50:26.456000,30467,0
2022-02-06 19:50:26.544000,29566,0
2022-02-06 19:50:26.650000,28345,0
2022-02-06 19:50:26.772000,24333,0
2022-02-06 19:50:26.848000,22953,0
2022-02-06 19:50:26.909000,10089,0
2022-02-06 19:50:26.974000,13501,0
2022-02-06 19:50:27.097000,15814,0
2022-02-06 19:50:27.172000,16123,0
2022-02-06 19:50:27.293000,17597,0
2022-02-06 19:50:27.361000,17099,0
2022-02-06 19:50:27.439000,17400,0
2022-02-06 19:50:27.557000,18174,0
2022-02-06 19:50:27.615000,17103,0
2022-02-06 19:50:27.696000,22830,0
2022-02-06 19:50:27.817000,16346,0
2022-02-06 19:50:27.867000,17140,0
2022-02-06 19:50:27.967000,22304,0
2022-02-06 19:50:28.087000,19940,0
2022-02-06 19:50:28.143000,20165,0
2022-02-06 19:50:28.218000,20473,0
2022-02-06 19:50:28.300000,20756,0
2022-02-06 19:50:28.419000,22850,0
2022-02-06 19:50:28.493000,23560,0
2022-02-06 19:50:28.558000,24271,0
2022-02-06 19:50:28.643000,24864,0
2022-02-06 19:50:28.731000,21069,0
2022-02-06 19:50:28.873000,20951,0
2022-02-06 19:50:28.926000,20801,0
2022-02-06 19:50:28.990000,20571,0
2022-02-06 19:50:29.058000,23970,0
2022-02-06 19:50:29.147000,23813,0
2022-02-06 19:50:29.272000,24083,0
2022-02-06 19:50:29.352000,24938,0
2022-02-06 19:50:29.422000,24764,0
2022-02-06 19:50:29.508000,24389,0
2022-02-06 19:50:29.599000,25912,0
2022-02-06 19:50:29.731000,27918,0
2022-02-06 19:50:29.807000,27802,0
